"","wt_nt.1","wt_nt.2","wt_cpr.1","wt_cpr.2","fur_nt.1","fur_nt.2","fur_cpr.1","fur_cpr.2"
"yoeA",10.2205257048554,10.7948911563649,10.3081461823291,10.1727361123897,12.6088022095149,12.4143719613224,11.8647225112826,12.1141411050745
"yaaI",10.3588842975573,10.7632294999941,9.73686597706581,9.66554799702547,10.4665271563496,10.5221949440755,8.99130177565902,9.39375400645018
"polB",9.95874554546495,10.2079814244098,11.1399077971747,11.2244201261996,10.1838640807768,10.26714104488,11.1261116311651,11.1414124500646
"aceK",10.3966480196533,10.4906011022086,9.5358361300138,9.0071937519285,10.3029734491884,10.4479437622892,9.1564431268377,8.92472049117175
"htrE",10.550507691911,10.4212277586374,9.62049947360751,9.47375197224808,10.6438046096225,10.7088620683191,9.44486742705724,9.54953939624726
"gcd",10.7008567024725,11.1429205765897,10.1849655218874,10.0391795738886,11.0570395696688,11.3486736720999,9.91294681428789,10.1715869383374
"yadK",10.6984906296621,10.7144766166682,9.77331150268753,9.41793525505025,10.9309750965629,10.9834276300347,9.68028010750296,9.90056010783246
"yadC",10.9506110291802,11.1511806354876,10.2991500297634,10.2029553404319,11.33138487501,11.1844974711888,10.1423890290624,10.2604748705326
"yadN",10.9344098013277,10.8810706262309,10.1033991117678,10.0214865906897,10.9949012234752,11.0373642525457,9.92239392767001,10.0410503345105
"hrpB",9.42926942477281,9.7019444175803,10.694788298781,10.6820532477336,9.50178362897918,9.74508562929694,10.2188658435689,10.4389940388379
"fhuA",10.4706250160612,10.6714088607641,10.5704325456865,10.558656878827,11.3281421761262,11.1356279147792,12.3819702671426,12.2903570977436
"yadV",11.1126696703305,11.1145536985226,10.150465168004,10.0625479248086,11.2214230111731,11.2882514866714,9.71536646830771,10.1753897114082
"yacH",10.4985801627196,10.7515374768651,9.83290705289336,9.54840963418357,10.4214036830949,10.7753609857141,9.26230452188011,9.46153654200106
"sufD",10.1363639992054,9.91970720003671,10.2146407234149,10.197520040103,10.5826456171289,10.6685327579389,11.4149235767569,11.4037058049737
"yjjJ",10.3066830960155,10.5611370215523,10.0470863760255,9.76631667275045,10.2316074589558,10.4999713771704,8.89360255456411,9.58345986507102
"yaeF",9.77794827514648,10.3390113886495,9.52168409286407,9.56050495759069,10.0214962119591,10.60067870986,8.31066141811386,9.34616995939289
"yafL",10.5380346270667,10.9256062075985,10.0414837673269,9.96872192510141,10.775847392756,11.0319341264098,9.61385671745717,10.0317514781388
"lfhA",9.62544387508975,10.2485481183388,9.51861325939643,9.38095470715215,10.0533950383131,10.2740736216001,9.16368422074827,9.14367179769373
"yafO",10.5796364757682,10.7296206221775,10.2034927677023,10.3225953686591,10.6765813676489,10.7707553285665,9.42355589048918,9.94703797031654
"ykfJ",10.342726850832,10.5528714351311,9.3915992894831,8.90984349053994,10.5089549346748,10.5527147307419,7.77859418928543,9.13148664010617
"ynfK",10.9034937639237,10.7920489979605,12.0418247198392,12.1704797366257,11.402403495297,10.9973989205365,12.2385034665353,12.1954659497294
"arpA",10.270875647451,10.0248458775145,8.62851160265815,7.90957311998462,10.0714275426497,10.0023421820746,7.54852561365669,8.40473289053726
