"","wt_nt.1","wt_nt.2","wt_cpr.1","wt_cpr.2","fur_nt.1","fur_nt.2","fur_cpr.1","fur_cpr.2"
"1765616_s_at",10.8450541358686,10.8927148406369,10.2788277741216,10.2886275080111,10.9308968510731,11.1228193704617,10.1399103168682,10.2281665036012
"1764857_s_at",10.2722704628937,10.321568711313,10.2069188928196,10.1705579162324,10.3398465252977,10.3179281679203,9.48671252486968,9.62063518509969
"1767162_s_at",12.6300852542756,11.8218493456131,12.2167536645482,12.3459529362577,12.6929607086489,12.5647586589445,11.6587201082797,12.2300829614681
"1759937_s_at",10.9044307663935,11.1738205493225,10.3128669277633,10.2107983816057,11.0066745248105,11.3012800466252,10.2228924501652,10.1267125839087
"1764941_at",9.66263696804622,10.2272951903062,9.41927852680147,9.2493613375063,10.3515060275134,10.515525154235,8.99651505808795,9.21219557627397
"1763059_s_at",11.3523176310182,11.8049671459397,10.9431535158398,10.9122270170668,11.5446583960782,11.5323914855682,10.6165004617515,10.8923700060512
"1763701_x_at",8.04196327625318,9.30843230765652,8.31343577367219,8.14961946993526,8.67080713969788,9.08283167197956,5.74701214482875,7.24718170131123
"1764761_s_at",8.73840469178379,8.90826817531287,7.20698381598176,6.33721739234015,9.13666275530692,9.1045874613506,4.97529110719605,7.1661317023412
"1760855_x_at",10.0812618929509,10.598237658769,11.080716469841,10.8513185786999,10.4198009817648,10.4322097633489,10.3519480795939,11.0091266027607
"1760490_x_at",11.3149354483422,11.7689066809964,11.1793583135695,11.172753648038,11.6371063275848,11.7821070047865,10.9864044086688,11.1947549316619
"1766745_s_at",11.4906296784614,11.4321161151796,10.8804721993214,10.9833710127493,11.8736403444802,11.323586140547,11.4253945877809,11.4170404013758
"1762113_s_at",10.3591263721007,10.178971051251,11.2764082268555,11.3046149497335,10.7964553158241,10.428345826635,11.0783475363155,11.3394889116031
"1764436_s_at",10.580374388521,10.837112832442,10.3094898523639,10.328441180542,10.7409123606078,11.0792036134228,10.0531335681475,10.1722585789386
"1762699_at",11.3578938762479,10.3835411155854,11.3591487353298,11.0903682637074,11.7856535560971,11.2718623843949,11.8818101167805,11.9259472800947
"1767440_s_at",7.70832350847685,9.14456035480049,8.25052549186678,7.87022741014817,8.64877819085401,9.12354550454777,6.81994864371493,7.38305032332019
"1763890_at",10.970948665776,11.2286911294845,10.5323469126404,10.3885305778456,11.1162332852847,11.1020471841063,10.1221635641323,10.5683094601244
"1763092_at",10.6959993270374,11.0379105261063,10.4803584559193,10.1405793895751,10.952822482877,11.2696487722892,10.2930850123027,10.5929858144792
"1768193_s_at",10.6447637597594,10.6714808101921,9.85000791480992,9.6475595755783,10.8238280835718,10.9754960979011,9.7870214568279,9.71338191847823
"1763932_at",11.4259993724504,11.1748769832334,12.781525343394,12.760762672802,11.6538925014158,11.4708722261323,12.3172087591607,12.6989165815994
"1761143_s_at",9.89848961334538,9.93092110730601,10.9108103016035,10.8211376110894,9.9777243098476,10.0385478915661,10.7221644717626,10.9002968716699
"1762117_s_at",10.5849793394151,10.5995926854094,10.630467325745,10.5885779165207,10.6505121942463,10.6900645053023,10.1928964586295,10.1012252804537
"1764957_s_at",10.411001802241,10.6486646577859,10.0268302825427,10.0537951164135,10.2266026334897,10.4846010349134,9.0467277700144,9.92360140212553
"1764480_s_at",10.8148945560161,10.7386352575411,11.3627942743358,11.3123064463162,10.846127830283,10.7760435445236,11.0687881208673,11.2626069088876
"1763906_s_at",9.96370202702562,10.2807258959902,9.16143897681803,9.35355017583695,10.0285533856915,10.3328047730997,8.98838504031642,8.90276671405864
"1759439_at",11.4448726490025,11.4175071387151,11.8591819993096,10.6501372898591,13.9331518716417,6.63157601944782,13.689729792651,8.0617707389034
"1766103_s_at",10.2296593157915,10.0239945887752,9.50744853586634,9.31311499484696,10.0684478940791,9.7023703657717,9.07596058592394,9.5856764581111
"1759888_at",10.2711829678182,10.2948112320984,9.87688165478948,9.70826662488077,10.6794667736494,10.5907907217136,9.55702199094913,9.91119410980935
"1765065_at",10.6534201603682,10.3732703483784,10.0717743911708,9.83387342612511,10.7722746956828,10.5838979783875,9.476887231829,9.91643096147587
"1764021_at",11.1256626179695,11.4337002012894,10.2435398460606,10.270766189229,10.799306690833,10.9052676592235,10.0935553022835,10.459705340157
"1763362_s_at",10.3681988792711,10.5943008046795,11.2184257371758,11.2232274855158,10.5068819820157,10.332898826062,10.9953048755851,11.1557414032338
