"","wt_nt.1","wt_nt.2","wt_cpr.1","wt_cpr.2","fur_nt.1","fur_nt.2","fur_cpr.1","fur_cpr.2"
"1765570_s_at",3.41880982944092,3.25163762267201,3.75190589665529,4.33552370747753,3.47971990803796,3.38701709471535,3.84011124125495,3.56288619600529
"1765571_s_at",10.4347552667924,10.7410429436757,10.6331059170333,10.6972906850342,9.96054048986017,10.1153647747563,10.5532662957662,10.5957207816933
"1765572_at",8.038858534532,7.50712200307273,7.93876748777903,8.42279124667127,7.46190873178236,7.46700308028634,9.26477383865067,8.60776121265797
"1765573_s_at",10.3796692878897,10.5299154797929,10.8290264873781,10.7674577283574,10.4284138709862,10.4829938276129,10.2098121130821,10.5644111112283
"1765574_s_at",10.7693007294202,10.9264652577108,10.950353351964,10.8426740335292,10.6864926792815,10.6662968996212,10.868448205312,10.9189356378089
"1765575_s_at",4.20073192820831,4.2733156961865,4.47337911570504,3.79525327131765,4.15529212042184,4.33492595678825,4.49016816469011,4.32406281182142
"1765576_s_at",11.060247980113,11.3100672722304,10.512994231627,10.3798761394116,11.3264610001733,11.542565291043,9.95951323340431,10.4038233574511
"1765577_s_at",10.2412533027378,10.6405823696365,10.9989889393821,10.7152310700439,10.3665065305279,10.9601034575066,10.26995993524,10.5954384443041
"1765578_s_at",10.8940364533622,11.0444811135481,10.6143538663628,10.6538795077321,11.1784328017152,11.2317240726539,10.5606116033968,10.5892840281184
"1765579_s_at",11.0763966681753,11.314581474761,10.6080144802327,10.4498521169324,11.2340154700051,11.333805796745,10.2847894359932,10.3485863958654
"1765580_s_at",3.60856714850552,3.5198272911538,3.59086130918052,3.60663667571367,3.22480787813596,3.49984490852999,4.29449818238412,3.94751161515336
"1765581_at",10.6957771000141,10.4909730605397,10.1255708745488,10.1999862455901,10.7051096600509,10.6705428435402,9.72969879091479,10.1316621502705
"1765582_at",10.3842833212884,10.6891450010213,10.5150807222987,10.3824837910608,10.3961332030194,10.6884005184579,10.2802459019561,10.1960005318164
"1765583_s_at",10.0334760246218,9.90998248511426,10.6092091608697,10.69376265571,10.366780680041,10.1971958903735,10.4678051869074,10.6367107286311
